[1,i]	om namaḥ vīttarāgāya 
[109,ii_110,i]	kasmāt punar trayāṇām hetu tvam kasmāt ca anyeṣām ahetutvam iti āśaṅkya yathā trayāṇām eva hetu tvam anyeṣām ca ahetu tvam tat ubhyam darśayitum āha svabhāva pratibandhaḥ iti svabhāvena pratibandhaḥ svabhāva pratibandhaḥ sādhanam kṛtā iti samāsaḥ svabhāva pratibaddha tvam pratibaddha svabhāva tvam iti arthaḥ kāraṇe svabhāve ca sādhye svabhāvena pratibandhaḥ kārya svabhāvayoḥ aviśiṣṭaḥ iti ekena samāsena dvayoḥ api saṃgrahaḥ hiḥ yasmāt arthe yasmāt svabhāva pratibandhe sati sādhana arthaḥ sādhya artha gamayet tasmāt trayāṇām gamaka tvam anyeṣa ām agamaka tvam 
[110,ii_110,iii]	kasmāt punar svabhāva pratibandhaḥ eva sati gamya gamaka bhāvaḥ na anyathā iti āha tad apratibaddhasya iti tat iti svabhāvaḥ uktaḥ tena svabhāvena apratibaddhaḥ tad apratibaddhaḥ yaḥ yatra svabhāvena na pratibaddhaḥ tasya tada pratibaddhasya tat avyabhicāra niyama abhāvāt tasya apratibandha viṣayasya avyabhicāraḥ tat avyabhicāraḥ tasya niyamaḥ tad avyabhicāra niyamaḥ tasya abhāvāt 
[110,iv]	tat ayam arthaḥ na hi yaḥ yatra svabhāvena na pratibaddhaḥ sa tam apratibandha viṣayam avaśyam eva na vyabhicarati iti na asti tayoḥ avyabhicāra niyamaḥ avinā abhau a niyamaḥ avyabhicāra niyamāt ca gamya gamaka bhāvaḥ na hi yogyatayā pradīpa vat parokṣa artha pratipatti nimittam iṣṭam liṅgam api tu avyabhicāri tvena niścitam tatas svabhāva pratibandhe satya vinābhāvi tva niścayaḥ tatas gamya gamaka bhāvaḥ tasmāt svabhāva pratibandhe satyarthaḥ artham gamayet na anyathā iti sthitam 
[111,i_112,i]	nanu ca parāyattasya pratibandhaḥ aparāyatte tat iha sādhya sādhanayoḥ kasya kva pratibandhaḥ iti āha sa ca iti sa ca svabhāva pratibandhaḥ liṅgasya sādhye arthe liṅgam parāyattatvāt pratibaddham sādhyaḥ tu arthaḥ apara āyatta tvāt pratibandha viyaḥ na tu pratibaddhaḥ iti arthaḥ tatra ayam arthaḥ tādātmya aviśeṣe api yat pratibaddham tat gamakam yat pratibandha viṣayaḥ tat gamyam yasya ca dharmasya yaḥ niyataḥ svabhāvaḥ sa tad pratibaddhaḥ yathā prayatnā anantarīyaka tva ākhyaḥ anitya tve yasya tu sa ca anyaḥ ca svabhāvaḥ ca pratibandha viṣayaḥ na tu pratibaddhaḥ yathā anitya tva ākhyaḥ prayatna ānantarīyaka tva ākhye niścaya apekṣaḥ hi gamya gamaka bhāvaḥ prayatna antarīyaka tvam eva ca anitya tva svabhāvam niścitam atas tat eva anitya tve pratibaddham tasmāt niyata viṣayaḥ eva gamya gamaka bhāvaḥ na anyathā iti 
[113,i_113,iii]	kasmāt punar svabhāva pratibandhaḥ liṅgasya iti āha vastutas ityādi sa sādhyaḥ arthaḥ ātmā svabhāvaḥ yasya tat tad ātmā tasya bhāvaḥ tādātmyam tasmāt hetoḥ yatas sādhya svabhāvam sādhanam tasmāt tatra svabhāva pratibandhaḥ iti arthaḥ yadi sādhya svabhāvam sādhanam sādhya sādhanayoḥ abhedāt pratijñā artha eka deśaḥ hetuḥ syāt ityā vastutas iti parama artha satā rūpeṇā abhedaḥ tayoḥ vikalpa viṣayaḥ tu yat samāropitam rūpam tad apekṣaḥ sādhya sādhana bhedaḥ niścaya apekṣaḥ eva hi gamya gamaka bhāvaḥ tatas niścaya ārūḍha rūpa apekṣaḥ eva tayoḥ bhedaḥ yuktaḥ vāstavaḥ tu abhedaḥ iti na kevalāt tādātmyāt api tu tatas sādhyāt arthāt utpattiḥ liṅgasya tad utpatteḥ ca sādhye arthe svabhāva pratibandhaḥ liṅgasya 
[114,i_114,ii]	kasmāt nimitta dvayāt svabhāva pratibandhaḥ liṅgasya na anyasmāt iti āha atad svabhāvasya iti sa svabhāvaḥ asya saḥ ayam tad svabhāvaḥ na tad svabhāvaḥ atad svabhāvaḥ tasmāt utpattiḥ asya saḥ ayam tad utpattiḥ na tathā atad utpattiḥ yaḥ yat svabhāvaḥ yat utpattiḥ ca na bhavati tasya atad svabhāvasya atad utpatteḥ ca tatra atad svabhāve anutpādake ca apratibaddhaḥ svabhāvaḥ asya iti saḥ ayam apratibaddha svabhāvaḥ tasya bhāvaḥ apratibaddha svabhāva tvam tasmāt apratibaddha svabhāva tvāt yadi atad svabhāve anutpādake ca kaścid pratibaddha svabhāvaḥ bhavet bhavet anyatas api nimittāt svabhāva pratibandhaḥ pratibaddha svabhāva tvam hi svabhāva pratibandhaḥ na ca anyaḥ kaścid āyatta svabhāvaḥ tasmāt tādātmya tad utpattibhyām eva svabhāva pratibandhaḥ 
[116,i_116,ii]	bhavatu nāma tādātmya tad utpattibhyām eva svabhāva pratibandhaḥ kārya svabhāvayoḥ eva tugamaka tvam katham iti āha te ca iti itiḥ tasmāt arthe yasmāt svabhāve kārye eva ca tādātmya tad utpattī sthite tad nibandhanaḥ ca gamya gamaka bhāvaḥ tasmāt tābhyām eva kārya svabhāvābhyām vastunaḥ vidheḥ siddhiḥ 
[116,iii_116,iv]	atha pratiṣedha siddhiḥ adṛśya anupalambhāt api kasmāt na iṣṭa iti āha pratiṣedha vyavahārasya siddhiḥ yathā uktā yā dṛśya anupalabdhiḥ tatas eva bhavati yatas tasmāt anyatas na uktā 
[116,v_116,vi]	tatas tāvat kasmāt bhavati iti āha sati tasmin pratiṣedhye vastuni yasmāt dṛśya anupalabdhiḥ na sambhavati tasmāt asambhavāt tatas pratiṣedha siddhiḥ 
[117,i_117,iii]	atha tatas eva kasmāt iti āha anyathā ca iti sati vastuni tasyāḥ adṛśya anupalabdheḥ sambhavāt iti anyathā śabda arthaḥ etasmāt kāraṇāt na anyasyāḥ anupalabdheḥ pratiṣedha siddhiḥ kutas etat sati api vastuni tasyāḥ sambhavaḥ iti āha anupalabdhi lakṣaṇa prāpteṣu ityādi iha pratyaya antarasākalyāt svabhāva viśeṣāt ca upalabdhi lakṣaṇa prāptaḥ arthaḥ uktaḥ dvayoḥ ekaikasya api abhāve anupalabdhi lakṣaṇa prāptaḥ arthaḥ ucyate 
[117,iv_117,v]	tad iha anupalabdhi lakṣaṇa prāpteṣu iti pratyaya antara vaikalyavantaḥ uktāḥ deśa kāla svabhāva viprakṛṣṭeṣu iti svabhāva viśeṣa rahitāḥ uktāḥ deśaḥ ca kālaḥ ca svabhāvaḥ ca taiḥ viprakṛṣṭāḥ iti vigrahaḥ teṣu abhāva niścayasya abhāvāt sati api vastuni tasyāḥ bhāvaḥ iṣṭaḥ kasmāt niścaya abhāvaḥ iti āha teṣu pratipattuḥ ātmanaḥ yat pratyakṣam tasya nivṛtteḥ kāraṇāt niścaya abhāvaḥ yasmāt anupalabdhi lakṣaṇa prāpteṣu ātma pratyakṣa nivṛtteḥ abhāva niścaya abhāvaḥ tasmāt sati api vastuni ātma pratyakṣa nivṛtti lakṣaṇāyāḥ adṛśya anupalabdheḥ sambhavaḥ tatas yathā uktāyāḥ eva pratiṣedha siddhiḥ 
[118,i_118,ii]	atha iyam dṛśya anupalabdhiḥ kasmin kāle pramāṇam kiṃsvabhāvā kiṃvyāpārā ca iti āha amūḍha ityādi pratipattuḥ pratyakṣaḥ ghaṭādiḥ arthaḥ tasya nivṛttiḥ anupalabdhiḥ tad bhāvasi abhāva iti yāvat atas eva abhāvaḥ na sādhyaḥ svabhāva anupalabdheḥ siddha tvāt avidyamānaḥ api ca ghaṭa ādiḥ eka jñāna saṃsargiṇi bhū tale bhāsamāne samagra sāmagrīkaḥ jñāyamānaḥ dṛśya tayā sambhāvita tvāt pratyakṣaḥ uktaḥ atas eka jñāna saṃsargaḥ dṛśyamānaḥ arthaḥ tat jñānam ca pratyakṣa nivṛttiḥ ucyate tatas hi dṛśyamānāt arthāt tad buddheḥ ca samagra darśana sāmagrīka tvena pratyakṣa tayā sambhāvitasya nivṛttiḥ avasīyate tasmāt artha jñāne eva pratyakṣasya ghaṭasya abhāvaḥ ucyate na tu nivṛtti mātram iha abhāvaḥ nivṛtti mātrāt dṛśya nivṛtti aniścayāt 
[119,i]	nanu ca dṛśya nivṛttiḥ avasīyate dṛśya anupalambhāt satyam eva etat kevalam eka jñāna saṃsargiṇi dṛśyamāne ghaṭaḥ yadi bhavet dṛśyaḥ eva bhavet iti dṛśyaḥ sambhāvitaḥ tatas dṛśya anupalabdhiḥ niścitā dṛśya anupalabdhi niścaya sāmarthyāt eva ca dṛśya abhāvaḥ niścitaḥ yadi hi dṛśyaḥ tatra bhavet dṛśya anupalambhaḥ na bhavet atas dṛśya anupalambha niścayāt daśya abhāvaḥ sāmarthyāt avasitaḥ na vyavahṛtaḥ iti dṛśyānupalambhena vyavaharttavyaḥ 
[119,ii_120,i]	tasmāt artha antaram eka jñāna saṃsargi dṛśyamānam tat jñānam ca pratyakṣa nivṛtti niścaya hetu tvāt pratyakṣa nivṛttiḥ uktam draṣṭavyam yathā ca eka jñāna saṃsargiṇi pratyakṣe ghaṭasya pratyakṣa tvam āropitam asataḥ api tathā tasmin eka jñāna saṃsargiṇī atīte ca amūḍha smṛti saṃskāre varttamāne ca ghaṭasya tad tad rū pamāra upitam asataḥ iti draṣṭavyam anena ca dṛśya anupalabdhiḥ pratyakṣa ghaṭa nivṛtti svabhāva uktā sā ca siddhā tena na ghaṭa abhāvaḥ sādhyaḥ api tu abhāva vyavahāraḥ iti uktam 
[121,i]	amūḍhaḥ abhraṣṭaḥ darśana ahitaḥ smṛti janana rūpaḥ saṃskāraḥ yasmin ghaṭa ādau sa tathā uktaḥ tasya atītasya pratipattṛ pratyakṣasya iti sambandhaḥ varttamānasya ca pratipattṛ pratyakṣasya iti sambandhaḥ amūḍha smṛti saṃskāra grahaṇam tu na varttamāna viśeṣaṇam yasmāt atīte ghaṭa vivikta pradeśa darśane smṛti saṃskāraḥ mūḍhaḥ dṛśya ghaṭa anupalambhe dṛśye ca ghaṭe mūḍhaḥ bhavati varttamāne tu ghaṭa rahita pradeśa darśane na smṛti saṃskāra mohaḥ atas eva na ghaṭa abhāve na api ghaṭa anupalambhe mohaḥ tasmāt na varttamāna niṣedhya viśeṣaṇam amūḍha smṛti saṃskāra grahaṇam smṛti saṃskāra vyabhicāra abhāvāt varttamānasya arthasya atas eva varttamānasya ca iti caśabdaḥ kṛtaḥ viśeṣaṇa rahitasya varttamānasya viśeṣaṇavatā atītena samuccayaḥ yathā vijñāyeta iti 
[121,ii]	tat ayam arthaḥ atītaḥ anupalambhaḥ sphuṭaḥ smaryamāṇaḥ pramāṇam varttamānaḥ ca tatas na āsīt iha ghaṭaḥ anupalabdha tvāt na asti anupalabhyamāna tvāt iti śakyam jñātum na tu na bhaviṣyati atra ghaṭaḥ anupalapsyamāna tvāt iti śakyam jñātum anāgatāyāḥ anupalabdheḥ sattva sandehāt iti kāla viśeṣaḥ anupalabdheḥ vyākhyātaḥ 
[122,i_122,ii]	vyāpāram darśayati abhāvasya vyavahāraḥ na asti iti evam ākāram jñānam śabdaḥ ca evam ākāraḥ niḥśaṅkam gamana āgamana lakṣaṇā ca pravṛttiḥ kāyikaḥ abhāva vyavahāraḥ ghaṭa abhāve hi jñāte niḥśaṅkam gantum āgantum ca pravarttate tat etasya trividhasya api abhāva vyavahārasya dṛśyā anupalabdhiḥ pravarttanī sādhanī pravarttikā 
[122,iii]	yadi api ca na asti ghaṭaḥ iti jñānam anupalabdheḥ eva bhavati ayam eva ca abhāva niścayaḥ tathā api yasmāt pratyakṣeṇa kevalaḥ pradeśaḥ upalabdhaḥ tasmāt iha ghaṭaḥ na asti iti evam ca pratyakṣa vyāpāram anusarati abhāva niścayaḥ tasmāt pratyakṣasya kevala pradeśa grahaṇa vyāpāra anusāryabhāva niścayaḥ pratyakṣa kṛtaḥ 
[123,i]	kiñca dṛśya anupalambha niścaya karaṇa sāmarthyāt eva pūrva uktayā nītyā pratyakṣeṇa eva abhāvaḥ niścitaḥ kevalam adṛṣṭānām api sattva sambhavāt sattva śaṅkayā na śaknoti asattvam vyavaharttum atas anupalambhaḥ abhāvam vyavahārayati dṛśyaḥ yatas anupalabdhaḥ tasmāt na asti iti atas dṛśya anupalambhaḥ abhāva jñānam kṛtam pravarttayati na tu akṛtam karoti iti abhāva niścayaḥ anupalambhāt pravṛttaḥ api pratyakṣeṇa kṛtaḥ anupalambhena pravarttitaḥ uktaḥ iti abhāva vyavahāra pra varttanī anulabdhiḥ 
[123,ii_123,iii]	kasmāt punar atīte varttamāne ca anupalabdhiḥ gamikā iti āha tasyāḥ eva yathā ukta kālāyāḥ anupalabdheḥ abhāva niścayāt anāgatā hi anupalabdhiḥ svayam eva sandigdha svabhāvā tasyāḥ asiddhāyāḥ nā abhāva niścayaḥ api tu atīta varttamānāyāḥ iti 
[124,i_124,iii]	samprati anupalabdheḥ prakāra bhedam darśayitum āha sā ca eṣā anupalabdhiḥ ekādaśa prakārā ekādaśa prakārāḥ asyāḥ iti ekādaśa prakārā kutas prakāra bhedaḥ prayoga bhedāt prayogaḥ prayuktiḥ śabdasya abhidhā vyāpāraḥ ucyate śabdaḥ hi sākṣāt kvacid artha antara abhidhāyī kvacid pratiṣedha antara abhidhāyī sarvatra eva tu dṛśya anupalabdhiḥ aśabda upāttā api gamyate iti vācaka vyāpāra bhedāt anupalambha prakāra bhedaḥ na tu svarūpa bhedāt iti yāvat 
[124,iv_125,i]	prakāra bhedān āha svabhāva ityādi pratiṣedhyasya yaḥ svabhāvaḥ tasya anupalabdhiḥ yathā iti atra iti dharmī na dhūmaḥ iti sādhyam upalabdhi lakṣaṇa prāptasya anupalabdheḥ iti hetuḥ ayam ca hetuḥ pūrvavat vyākhyeyaḥ 
[125,ii_126,ii]	pratiṣedhyasya yat kāryam tasya anupalabdhiḥ udāhniyate yathā iti iha iti dharmī apratibaddham anupahatam dhūma jananam prati sāmarthyam yeṣām tāni apratibaddha sāmarthyāni na santi iti sādhyam dhūma abhāvat iti hetuḥ kāraṇāni ca na avaśyam kāryavanti bhavanti iti kārya adarśanāt apratibaddha sāmarthyānām eva abhāvaḥ sādhyaḥ na tu anyeṣām apratibaddha śaktīni ca antyakṣaṇa bhāvīni eva anyeṣām pratibandha sambhavāt kārya anupalabdhiḥ ca yatra kāraṇam adṛśyam tatra prayujyate dṛśye tu kāraṇe dṛśyā anupalabdhiḥ eva gamikā 
[126,iii]	tatra dhavala gṛha upari sthitaḥ gṛha aṅgaṇam apaśyan api ca ṛtuṣu pārśveṣu aṅgaṇa bhitti paryantam paśyati bhitti paryanta samam ca āloka saṃjñakam ākāśa deśam dhūma viviktam paśyati tatra dhūma abhāva niścayāt yad deśa sthena vahninā janyamānaḥ dhūmaḥ tad deśaḥ syāt tasya ca vahneḥ apratibaddha sāmarthyasya abhāvaḥ pratipattavyaḥ tad gṛha aṅgaṇa deśena ca vahninā janyamānaḥ dhūmaḥ tad deśaḥ syāt tasmāt tad deśasya vahneḥ abhāvaḥ pratipattavyaḥ 
[126,iv_127,ii]	tad gṛha aṅgaṇa deśam bhitti parikṣiptam bhitti paryanta parikṣiptena ca āloka ātmanā dhūma viviktena ākāśa deśena saha dharmiṇam karoti tasmāt dṛśyamāna adṛśyamāna ākāśa deśa avayavaḥ pratyakṣa apratyakṣa samudāyaḥ vahnaya bhāva pratīti sāmarthya āyātas dharmī na dṛśyamānaḥ eva iha iti tu pratyakṣa nirdeśaḥ dṛśyamāna bhāga apekṣaḥ na kevalam iha eva dṛśya adṛśya samudāyaḥ dharmī api tu anyatra api śabdasya kṣaṇika tve sādhye kaścid eva śabdaḥ pratyakṣaḥ anyaḥ tu parokṣaḥ tadvat iha api yathā ca atra dharmī sādhya pratipatti adhikaraṇa bhūtaḥ dṛśya adṛśya avayavaḥ darśitaḥ tadvat uttareṣu api prayogeṣu svayam pratipattavyaḥ 
[128,i_129,ii]	pratiṣedhyasya vyāpyasya yaḥ vyāpakaḥ dharmaḥ tasya anupalabdhiḥ udāhniyate yathā iti atra iti dharmī na śiṃśapā iti śiṃśapā abhāvaḥ sādhyaḥ vṛkṣasya vyāpakasya abhāvāt iti hetuḥ iyam api anupalabdhiḥ vyāpyasya śiṃśapātu asyāḥ adṛśyasya abhāve prayujyate upalabdhi lakṣaṇa prāpte tu vyāpye dṛśyā anupalabdhiḥ gamikā tatra yadā pūrva aparau upaśliṣṭau samunnatau deśau bhavataḥ tayoḥ ekaḥ taru gahana upetaḥ aparaḥ ca eka śilā ghaṭitaḥ nirvṛkṣa kakṣakaḥ draṣṭā api tad sthān vṛkṣān paśyan api śiṃśapā ādi bhedam yaḥ na vivecayati tasya vṛkṣa tvam pratyakṣam apratyakṣam tu śiṃśapā tvam sa hi nirvṛkṣaḥ eka śilā ghaṭite vṛkṣa abhāvam dṛśya tvāt dṛśya anupalambhāt avasyati śiṃśapātva abhāvam tu vyāpakasya vṛkṣa tvasya abhāvāt iti tādṛśe viṣaye asyāḥ abhāva sādhanāya prayogaḥ 
[129,iii_130,i]	pratiṣedhyasya svabhāvena viruddhasya upalabdhi rudrā āhriyate yathā iti atra iti dharmī na śīta sparśaḥ iti śīta sparśa pratiṣedhaḥ sādhyaḥ vahneḥ iti hetuḥ iyam ca anupalabdhiḥ tatra prayoktavyāḥ yatra śīta sparśaḥ adṛśyaḥ dṛśye dṛśya anupalabdhi prayogāt tasmāt yatra varṇa viśeṣāt vahniḥ dṛśyaḥ śīta sparśaḥ dūra stha tvāt san api adṛśyaḥ tatra asyāḥ prayogaḥ 
[130,ii_130,iii]	pratiṣedhyena yat viruddham tad kāryasya upalabdhiḥ gamikā yathā iti atra iti dharmī na śīta sparśaḥ iti śīta sparśa abhāvaḥ sādhyaḥ dhūmāt iti hetuḥ yatra śīta sparśaḥ san dṛśyaḥ syāt tatra dṛśyā anupalabdhiḥ gamikā yatra viruddhaḥ vahniḥ pratyakṣaḥ tatra viruddha upalabdhiḥ gamikā dvayoḥ api tu parokṣa tve virudva kārya upalabdhiḥ prayujyate 
[131,i]	tatra samasta apavaraka stham śītam nivarttayitum samarthasya agneḥ anumāpakam yadā viśiṣṭam dhūma kalāpam niryāntam apavarakāt paśyati tadā viśiṣṭāt vahneḥ anumitāt śīta sparśa nivṛttim anumimīte iha dṛśyamāna dvāra pradeśa sahitaḥ sarvaḥ apavaraka abhyantara deśaḥ dharmī sādhya pratipatti anusaraṇāt pūrvavat draṣṭavyaḥ iti 
[131,ii_131,iii]	pratiṣedhyasya yat viruddham tena vyāptasya dharma antarasya upalabdhiḥ udāharttavyā yathā iti dhruvam avaśyam bhavati iti dhruva bhāvī na iti dhruva bhāvi tva niṣedhaḥ sādhyaḥ vināśaḥ dharmī bhūtasyīpi bhāvasya iti dharmi viśeṣaṇam bhūtasya jātasya api vinaśvaraḥ svabhāvaḥ na avaśyambhāvī kim uta ajātasya iti api śabda arthaḥ janakāt hetoḥ anyaḥ hetuḥ hetu antaram mudgara ādi tat apekṣate vinaśvaraḥ tasya apekṣuṇāt iti hetuḥ hetu antara apekṣaṇam nāma adhruva bhāvi tvena vyāptam yathā vāsasi rāgasya rañjam ādi hetu antara apekṣaṇam adhruva bhāvi tvena vyāptam dhruva bhāvi tva viruddham ca adhruva bhāvi tvam vināśaḥ ca vinaśvara svabhāva ātmā hetu antara apekṣaḥ iṣṭaḥ tatas viruddha vyāpta hetu antara apekṣaṇa darśanāt dhruva bhāvi tva niṣedhaḥ 
[132,i^1]	iha dhruva bhāvi tvam nitya tvam adhruva bhāvi tvam ca anitya tvam nitya tva anitya tvayoḥ ca paraspara parihāreṇa avasthānāt ekatra virodhaḥ tathā ca sati paraspara parihāravatoḥ dvayoḥ yadā ekam dṛśyate tatra dvitīyasya tādātmya niṣedhaḥ kāryaḥ tādātmya niṣedhaḥ ca dṛśya tayā abhyupagatasya sambhavati yatas evam tādātmya niṣedhaḥ kriyate 
[132,i^2]	yadi ayam dṛśyamānaḥ nityaḥ bhavet nitya rūpaḥ dṛśyeta na ca nitya rūpaḥ dṛśyate tasmāt na nityaḥ evam ca pratiṣedhyasya nitya tvasya dṛśyamāna ātmaka tvam abhyupagamya pratiṣedhaḥ kṛtaḥ bhavati vastunaḥ api adṛśyasya piśāca ādeḥ ya didṛśya ghaṭa ātmaka tva niṣedhaḥ kriyate dṛśya ātmaka tvam abhyupagamya karttavyaḥ yadi ayam ghaṭaḥ dṛśyamānaḥ piśāca ātmā bhavet piśācaḥ dṛṣṭaḥ bhavet na ca dṛṣṭaḥ tasmāt na piśācaḥ iti dṛśya ātma tva abhyupagama pūrvakaḥ dṛśyamāne ghaṭa ādau vastuni vastunaḥ avastunaḥ vā dṛśyasya adṛśyasya ca tādātmya pratiṣedhaḥ tathā ca sati yathā ghaṭasya dṛśya tvam abhyupagamya pratiṣedhaḥ dṛśya anupalambhāt eva tadvat sarvasya paraspara parihāravataḥ anyatra dṛśyamāne niṣedhaḥ dṛśya anupalambhāt eva tathā ca asya evaṃjātīyakasya prayogasya svabhāva anupalabdhau antarbhāvaḥ 
[134,i_134,iii]	pratiṣedhyasya yat kāryam tasya yat viruddham tasya upalabdheḥ udāharaṇam yathā iti iha iti dharmī apratibaddham sāmarthya yeṣām śīta kāraṇānām śīta jananam prati tāni na santi iti sādhyam vahneḥ iti hetuḥ yatra śīta kāraṇāni adṛśyāni śīta sparśaḥ api adṛśyaḥ tatra ayam hetuḥ prayoktavyaḥ dṛśya tve tu śīta sparśasya tad kāraṇānām vā kāryā anupalabdhiḥ dṛśyā anupalabdhiḥ vā gamikā tasmāt eṣa api abhāva sādhanī tatas yasmin uddeśe sat api śīta kāraṇam adṛśyam śīta sparśaḥ ca dūra stha tvāt pratipattuḥ vahniḥ bhāsvara varṇa tvāt dūrāt api dṛśyaḥ tatra ayam prayogaḥ iti 
[135,i_135,iii]	pratiṣedhyasya yat vyāpakam tena yat viruddham tasya upalabdhiḥ udāha rttavyāḥ yathā iti atra iti dharmī tuṣāra sparśaḥ na iti sādhyam vahneḥ iti hetuḥ yatra vyāpyaḥ tuṣāra sparśaḥ vyāpakaḥ ca śīta sparśaḥ na dṛśyaḥ tatra ayam hetuḥ tayoḥ dṛśya tve svabhāvasya vyāpakasya ca anupalabdhiḥ yatas prayoktavyā tathā ca satyabhāva sādhanīyam dūra varttinaḥ ca pratipattuḥ tuṣāra sparśaḥ śīta sparśa viśeṣaḥ śīta mātram ca parokṣam vahniḥ tu rūpa viśeṣāt dūra sthaḥ api pratyakṣaḥ tatas vahneḥ śīta mātra abhāvaḥ tatas śīta viśeṣetuṣāra sparśa abhāva niścayaḥ śīta viśeṣasya śīta sāmānyena vyāpta tvāt iti viśiṣṭa viṣaye asyāḥ prayogaḥ 
[135,iv_135,v]	pratiṣedhyasya yat kāraṇam tasya anupalabdheḥ udāharaṇam yathā iti atra iti dharmī na dhūmaḥ iti sādhyam vahni abhāvāt iti hetuḥ yatra kāryam sat api adṛśyam bhavati tatra ayam prayogaḥ dṛśye tu kārye dṛśyā anupalabdhiḥ gamikā tatas ayam api abhāva sādhanaḥ niṣkampa āyata salila pūrite hrade hemanta ucita bāṣpayā udgame virale sandhyātam asi sati san api tatra dhūmaḥ na dṛśyate iti kāraṇa anupalabdhyā pratiṣedhyate vahniḥ tu yadi tasya ambhasaḥ upari plavamānaḥ bhavet prajvalitaḥ rūpa viśeṣāt eva upalabdhaḥ bhavet ajvalitaḥ tu indhana madhya niviṣṭaḥ bhavet tatra api dahana adhikaraṇam indhanam pratyakṣam iti sva rūpeṇa ādhāra rūpeṇa vā dṛśyaḥ eva vahniḥ iti tatra asya prayogaḥ iti 
[137,i_137,ii]	pratiṣedhyasya yat kāraṇam tasya yat viruddham tasya upalabdheḥ udāharaṇam yathā iti asya iti dharmī romṇām harṣaḥ udbhedaḥ saḥ ādiḥ yeṣām danta vīṇā ādīnām śīta kṛtānām te viśi ṣyante tad anyebhyaḥ bhaya śraddha ādi kṛtebhyaḥ iti romaharṣa ādi viśeṣāḥ te na santi iti sādhyam dahanaḥ eva viśiṣyate tat anyasmāt dahanāt śīta nivarttana sāmarthyena iti dahana viśeṣaḥ kaścid dahanaḥ san api na śīta nivarttana kṣamaḥ yathā pradīpaḥ tādṛśa nivṛttaye viśeṣa grahaṇam sannihitaḥ dahana viśeṣaḥ yasya sa tathā uktaḥ tasya bhāvaḥ tasmāt iti hetuḥ yatra śīta sparśaḥ san api adṛśyaḥ roma harṣa ādi viśeṣāḥ ca adṛśyāḥ tatra ayam prayogaḥ romaharṣa ādi viśeṣasya dṛśya tve dṛśya anupalabdhiḥ prayoktavyā śīta sparśasya dṛśya tve kāraṇa anupalabdhiḥ tasmāt abhāva sādhanaḥ ayam rūpa viśeṣāt hi dūrāt vahanam paśyati śīta sparśaḥ tu adṛśyaḥ roma harṣa ādi viśeṣāḥ ca teṣām kāraṇa viruddha upalabdhyā abhāvam pratipadyate iti tatra asya prayogaḥ iti 
[138,i_138,ii]	pratiṣedhyasya yat kāraṇam tasya yat viruddham tasya yat kāryam tasya upalabdhiḥ udāharttavyā yathā iti ayam pradeśaḥ iti dharmī yogaḥ yuktam roma harṣa ādi viśeṣaiḥ yuvatam roma harṣa ādi viśeṣa yuktam tasya sambandhī puruṣaḥ roma harṣa ādi viśeṣa yukta puruṣaḥ tadvān na bhavati iti sādhyam dhūmāt iti hetuḥ 
[139,i]	romaharṣa ādi viśeṣasya pratyakṣa tve dṛśya anupalabdhiḥ kāraṇasya śīta sparśasya pratyakṣa tve kāraṇa anupalabdhiḥ vahneḥ tu pratyakṣa tve kāraṇa viruddha upalabdhiḥ prayoktavyā trayāṇām api adṛśya tve ayam prayogaḥ tasmāt abhāva sādhanaḥ ayam tatra dūra sthasya pratipattuḥ dahana śīta sparśa roma harṣa ādi viśeṣāḥ apratyakṣāḥ santaḥ api dhūmaḥ tu pratyakṣaḥ yatra tatra etat pramāṇam dhūmaḥ tu yādṛśaḥ tad deśe sthitam śītam nivarttayitum samarthasya vahneḥ anumāpakaḥ saḥ iha grāhyaḥ dhūma mātreṇa tu vahni mātre anumite api na śīta sparśa nivṛttiḥ na api roma harṣa ādi viśeṣa nivṛttiḥ avasātum śakyā iti na dhūma mātram hetuḥ iti draṣṭavyam iti 
[140,i_140,iii]	yadi ekaḥ pratiṣedha hetuḥ uktaḥ katham ekādaśā abhāva hetavaḥ iti āha ime sarve ityādi ime anupalabdhi prayogāḥ idam ānantara prakrāntāḥ nirdiṣṭāḥ tatra kiyatām api grahaṇe prasaktaḥ āha kārya anupalabdhi ādayaḥ iti kārya anupalabdhi ādīnām api trayāṇām caturṇām vā grahaṇe prasaktaḥ āha daśa iti tatra daśānām api udāhṛta mātrāṇām grahaṇa prasaṅge sati āha sarve iti etat uktam bhavati aprayuktāḥ api prayukta udāharaṇa sadṛśāḥ ca sarve eva iti daśagrahaṇam antareṇa sarva grahaṇe kriyamāṇe prayukta udāharaṇa kārtsnyam gamyeta daśagrahaṇāt tu udāharaṇa kārtsnye avagate sarva grahaṇa matiricyamānam udāhṛta sadṛśa kārtsnya avagatayā ijāyate 
