<1>

{1,1}

[1,1.1]	athāto dharmajijñāsā.
[5,1.22]	na tatsambandhāt.
[5,1.23]	aṅgānāṃ mukhyakālatvād yathoktam utkarṣe syāt.
[5,1.24]	tadādi vābhisambandhāt tadantam apakarṣe syāt.
[5,1.25]	pravṛtyā kṛtakālānām.
[5,1.26]	śabdavipratiṣedhāc ca.
[5,1.27]	asaṃyogāt tu vaikṛtaṃ tad eva pratikṛṣyeta.
[5,1.28]	prāsaṅgikaṃ ca notkarṣed asaṃyogāt.
[5,1.29]	tathāpūrvam.
[5,1.30]	sāntapanīyā tūtkarṣed agnihotraṃ savanavad vaiguṇyāt.
[5,1.31]	añyavāyāc ca
[5,1.32]	asambandhāt tu notkarṣet.
[5,1.33]	prāpaṇāc ca nimittasya.
[5,1.34]	sambandhāt savanotkarmaḥ.
[5,1.35]	ṣoḍaśī cokthyasaṃyogāt.

{5,2}

[5,2.1]	sannipāte prādhānānām ekaikasya guṇānāṃ sarvakarma syāt.
[5,2.2]	sarveṣāṃ vaikajātīyaṃ kṛtānupūrvyatvāt.
[5,2.3]	kāraṇād abhyāvṛttiḥ.
[5,2.4]	muṣṭikapālāvadānāñjanābhyañjanavapanapāvaneṣu caikena.
[5,2.5]	sarvāṇi tv ekakāryatvādeṣāṃ tadguṇatvāt.
[5,2.6]	saṃyukte tu prakramāt tadaṅgaṃ syād itarasya tadarthatvāt.
[5,2.7]	vacanāt tu parivyāṇāntam añjanādiḥ syāt.
[5,2.8]	kāraṇādvānavasargaḥ syād yathā pātravṛddhiḥ.
[5,2.9]	na vā śabdakṛtatvān nyāyamātramitaradarthāt pātravivṛddhiḥ.
[5,2.10]	paśugaṇe tasyatasyāpavarjayet paśvaikatvāt.
[5,2.11]	daivatair vaikakarmyāt.
[5,2.12]	mantrasya cārthavattvāt.
[5,2.13]	nānābījeṣvekamulūkhalaṃ vibhavāt.
[5,2.14]	vivṛddhir vā niyāmādānupūrvyasya tadarthatvāt.
[5,2.15]	ekaṃ vā taṇḍulabhāvād dhantes tadarthatvāt.
[5,2.16]	vikāre tv anūyājānāṃ pātrabhedo 'rthabhedāt syāt.
[5,2.17]	prakṛteḥ pūrvoktatvād apūrvam ante syān na hy acoditasya śeṣāmnānam.
[5,2.18]	mukhyānantaryamātreyas tena tulyaśrutitvād aśabdatvāt prākṛtānāṃ vyavāyaḥ syāt.
[5,2.19]	ante tu bādarāyaṇas teṣāṃ pradhānaśabdatvāt.
[5,2.20]	tathā cānyārthadarśanam.
[5,2.21]	kṛtadeśāt tu pūrveṣāṃ sa deśaḥ syāt tena pratyakṣasaṃyogān nayāyamātramitarat.
[5,2.22]	prakṛtāc ca purastād yat.
[5,2.23]	sannipātaś ced yathoktamante syāt.

{5,3}

[5,3.1]	vivṛddhiḥ karmabhedāt pṛṣadājyavat tasyatasyopadiśyeta.
[5,3.2]	api vā sarvasaṅkhyatvād vikāraḥ pratīyeta.
[5,3.3]	svasthānāt tu vivṛdhyeran kṛtānupūrvyatvāt.
[5,3.4]	samidhyamānavatīṃ samiddhavatīṃ cāntareṇa dhāyyāḥ syur dyāvāpṛthiñyorantarālaṃ samarhaṇāt.
[5,3.5]	tacchabdo vā.
[5,3.6]	uṣṇikkakubhorante darśanāt.
[5,3.7]	stomavivṛddhau vahiṣpavamāne purastāt paryāsād āgantavaḥ syus tathā hi dṛṣṭaṃ dvādaśāhe.
[5,3.8]	paryāsa iti cāntākhyā.
[5,3.9]	ante vā taduktam.
[5,3.10]	vacanāt tu dvādaśāhe.
[5,3.11]	atadvikāraś ca.
[5,3.12]	tadvikāre 'py apūrvatvāt.
[5,3.13]	ante tūttarayor dadhyāt.
[5,3.14]	api vā gāyatrībṛhatyanuṣṭupsu vacanāt.
[5,3.15]	graheṣṭakam aupānuvākyaṃ savanacitiśeṣaḥ syāt.
[5,3.16]	kratvagniśeṣā vā coditatvād acodanānupūrvasya.
[5,3.17]	ante syur avyavāyāt.
[5,3.18]	liṅgadarśanāc ca.
[5,3.19]	madhyamāyāṃ tu vacanād brāhmaṇavatyaḥ.
[5,3.20]	prāglokampṛṇāyās tasyāḥ sampūraṇārthatvāt.
[5,3.21]	saṃskṛte karma saṃskārāṇāṃ tadarthatvāt.
[5,3.22]	anantaraṃ vrataṃ tadbhūtatvāt.
[5,3.23]	pūrvaṃ ca liṅgadarśanāt.
[5,3.24]	arthavādo vārthasya vidyamānatvāt.
[5,3.25]	nyāyavipratiṣedhāc ca.
[5,3.26]	sañcite tv agnicid yuktaṃ prāpaṇān nimittasya.
[5,3.27]	kratvante vā prayogavacanābhāvāt.
[5,3.28]	agneḥ karmatvanirdeśāt.
[5,3.29]	pareṇāvedanād dīkṣitaḥ syāt sarvair dīkṣābhisambandhāt.
[5,3.30]	iṣṭyante vā tadarthā hy aviśeṣārthasanvandhāt.
[5,3.31]	samākhyānaṃ ca tadvat.
[5,3.32]	aṅgavat kratūnām ānupūrvyam.
[5,3.33]	na vāsambandhāt.
[5,3.34]	kāmyatvāc ca.
[5,3.35]	ānarthakyān neti cet.
[5,3.36]	syād vidyārthatvād yathā pareṣu sarvasvārāt.
[5,3.37]	ya etenety agniṣṭomaḥ prakaraṇāt.
[5,3.38]	liṅgāc ca.
[5,3.39]	athānyeneti saṃsthānāṃ sannidhānāt.
[5,3.40]	tatprakṛter vāpattivihārau na tulyeṣūpapadyate.
[5,3.41]	praśasā ca viharaṇābhāvāt.
[5,3.42]	vidhipratyayād vā na hy akasmāt praśaṃsā syāt.
[5,3.43]	ekastome vā kratusaṃyogāt.
[5,3.44]	sarveṣāṃ vā codanāviśeṣāt praśaṃsā stomānām.

{5,4}

[5,4.1]	kramakoyo 'rthaśabdābhyāṃ śrutiviśeṣād arthaparatvāc ca.
[5,4.2]	avadānābhighāraṇāsādaneṣv ānupūrvyaṃ pravṛtyā syāt.
[5,4.3]	yathārapradānaṃ vā tadarthatvāt.
[5,4.4]	liṅgadarśanāc ca.
[5,4.5]	vacanād iṣṭipūrvatvam.
[5,4.6]	somaś caikeṣām agnayādheyasyartunakṣatrātikramavacanāt tadantenānarthakaṃ hi syāt.
[5,4.7]	tadarthavacanāc ca nāviśeṣāt tadarthatvaṃ.
[5,4.8]	ayakṣyamāṇasya ca pavamānahaviṣāṃ kālanirdeśād ānantaryād viśaṅkā syāt.
[5,4.9]	iṣṭir ayakṣyamāṇasya tadarthye na somapūrvatvam.
[5,4.10]	utkarṣād brāhmaṇasya somaḥ syāt.
[5,4.11]	paurṇamāsī vā śrutisaṃyogāt.
[5,4.12]	sarvasya vaikakarmyāt.
[5,4.13]	syād vā vidhis tadarthena.
[5,4.14]	prakaraṇāt tu kālaḥ syāt.
[5,4.15]	svakāle syād avipratiṣedhāt.
[5,4.16]	apanayo vādhānasya sarvakālatvāt.
[5,4.17]	paurṇamāsy ūrdhvaṃ somād brāhmaṇasya vacanāt.
[5,4.18]	ekaṃ vā śabdasāmarthyāt prāk kṛtsnavidhānam.
[5,4.19]	puroḍāśas tv anirdeśe tadyukte devatābhāvāt.
[5,4.20]	ājyamapīti cet.
[5,4.21]	na miśradevatatvād aindrāgnavat.
[5,4.22]	vikṛteḥ prakṛtikālatvāt sadyaskālottarā vikṛtis tayoḥ pratyakṣaśiṣṭatvāt.
[5,4.23]	dvaiyahakālye tu yathānyāyam.
[5,4.24]	vacanād vaikakālyaṃ syāt.
[5,4.25]	sannāyyāgnīṣomīyavikārā ūrdhvaṃ somātprakṛtivat.
[5,4.26]	tathā somavikārā darśapūrṇamāsābhyām.

<6>

{6,1}

[6,1.1]	dravyāṇāṃ karmasaṃyoge guṇatvenābhisambandhaḥ.
[6,1.2]	asādhakaṃ tu tādarthyāt.
[6,1.3]	pratyarthaṃ cābhisaṃyogātkarmato hy abhisambandhas tasmāt karmopadeśaḥ syāt.
[6,1.4]	phalārthatvāt karmaṇaḥ śāstraṃ sarvādhikāraṃ syāt.
[6,1.5]	kartur vā śrutisaṃyogād vidhiḥ kārtsnyena gamyate.
[6,1.6]	liṅgaviśeṣanirdeśāt puṃyuktam aitiśāyanaḥ.
[6,1.7]	taduktitvāc ca doṣaśrutir avijñāte.
[6,1.8]	jātiṃ tu bādarāyaṇo 'viśeṣāt tasmāt stry api pratīyeta jātyarthasyāviśiṣṭatvāt.
[6,1.9]	coditatvād yathāśruti.
[6,1.10]	dravyavattvāt tu puṃsāṃ syād dravyasaṃyuktaṃ krayavikrayābhyām adravyatvaṃ strīṇāṃ dravyaiḥ samānayogitvāt.
[6,1.11]	tathā cānyārthadarśanam.
[6,1.12]	tādarthyāt karma tādarthyam.
[6,1.13]	phalotsāhāviśeṣāt tu.
[6,1.14]	arthena ca samavetatvāt.
[6,1.15]	krayasya tharmamātratvam.
[6,1.16]	svavattām api darśayati.
[6,1.17]	svavatos tu vacanād aikakarmyaṃ syāt.
[6,1.18]	liṅgadarśanāc ca.
[6,1.19]	krītatvāt tu bhaktyā svāmitvam ucyate.
[6,1.20]	phalārthitvāt tu svāmitvenābhisambandhaḥ.
[6,1.21]	phalavattāṃ ca darśayati.
[6,1.22]	dvyādhānaṃ ca dviyajñavat.
[6,1.23]	guṇasya tu vidhānatvāt patnyā dvitīyaśabdaḥ syāt.
[6,1.24]	tasyā yāvaduktam āśīr brahmacaryam atulyatvāt.
[6,1.25]	cāturvarṇyam aviśeṣāt.
[6,1.26]	nirdeśād vā trayāṇāṃ syād agnyādheye 'sambandhaḥ kratuṣu brāhmaṇaśruter ity ātreyaḥ.
[6,1.27]	nimittārthe na bādaris tasmāt sarvādhikāraṃ syāt.
[6,1.28]	api vānyārthadarśanād yathāśruti pratīyeta.
[6,1.29]	nirdeśāt tu pakṣe syāt.
[6,1.30]	vaiguṇyān neti cet.
[6,1.31]	na kāmyatvāt.
[6,1.32]	saṃskāre ca tatpradhānatvāt.
[6,1.33]	api vā vedanirdeśād apaśūdrāṇāṃ pratīyeta.
[6,1.34]	guṇārthitvān neti cet.
[6,1.35]	saṃskārasya tadarthatvād vidyāyāṃ puruṣaśrutiḥ.
[6,1.36]	vidyānirdeśān neti cet.
[6,1.37]	abaidyatvād abhāvaḥ karmaṇi syāt.
[6,1.38]	tathā cānyārthadarśanam.
[6,1.39]	trayāṇāṃ dravyasampannaḥ karmaṇī dravyasiddhatvāt.
[6,1.40]	anityatvāt tu naivaṃ syād arthād dhi dravyasaṃyogaḥ.
[6,1.41]	aṅgahīnaś ca taddharmā.
[6,1.42]	utpattau nityasaṃyogāt.
[6,1.43]	atryārṣeyasya hānaṃ syāt.
[6,1.44]	vacanād rathakārasyādhāne 'sya sarvaśeṣatvāt.
[6,1.45]	nyāyyo vā karmasaṃyogāc chūdrasya pratiṣiddhatatvāt.
[6,1.46]	akarmatvāt tu naivaṃ syāt.
[6,1.47]	ānarthakyaṃ ca saṃyogāt.
[6,1.48]	guṇārtheneti cet.
[6,1.49]	uktam animittatvam.
[6,1.50]	saudhanvanās tu hīnatvān mantravarṇāt pratīyeran.
[6,1.51]	rathapatir niṣādaḥ syāc chabdasāmarthyāt.
[6,1.52]	liṅgadarśanāc ca.

{6,2}

[6,2.1]	puruṣārthaikasiddhitvāt tasya tasyādhikāraḥ syāt.
[6,2.2]	api cotpattisaṃyogo yathā syāt satvadaryaśanaṃ tathābhāvo vibhāge syāt.
[6,2.3]	prayoge puruṣaśruter yathākāmī prayoge syāt.
[6,2.4]	pratyarthaṃ śrutibhāva iti cet.
[6,2.5]	tādarthye na guṇārthatānukte 'rthāntaratvāt kartuḥ pradhānabhūtatvāt.
[6,2.6]	api vā kāmasaṃyoge sambandhāt prayogāyopadiśyeta pratyarthaṃ hi vidhiśrutir viṣāṇāvat.
[6,2.7]	anyasya syād iti cet.
[6,2.8]	anyārthenābhisambandhaḥ.
[6,2.9]	phalakāmo nimittam iti cet.
[6,2.10]	na nityatvāt.
[6,2.11]	karma tatheti cet.
[6,2.12]	na samavāyāt.
[6,2.13]	prakamāt tu niyamyetārambhasya kriyānimittatvāt.
[6,2.14]	phalārthitvād vāniyamo yathānupakrānte.
[6,2.15]	niyamo vā tannimittatvāt kartus tatkāraṇaṃ syāt.
[6,2.16]	loke karmāṇi vedavat tato 'dhipuruṣajñānam.
[6,2.17]	aparādhe 'pi ca taiḥ śāstram.
[6,2.18]	aśāstrāt tūpasamprāptiḥ śāstraṃ syān na prakalpakaṃ tasmād arthena gamyetāprāpte śāstram arthavat.
[6,2.19]	pratiṣedheṣv akarmatvāt kriyā syāt pratiṣiddhānāṃ vibhaktatvād akarmaṇām.
[6,2.20]	śāstrāṇāṃ tv arthavatvena puruṣārtho vidhīyate tayor asamavāyitvāt tādarthye vidhyatikramaḥ.
[6,2.21]	tasmiṃs tu śiṣyamāṇāni jananena pravarteran.
[6,2.22]	api vā vedatulyatvād upāyena pravarteran.
[6,2.23]	abhyāso 'karmaśeṣatvāt puruṣārtho vidhīyate.
[6,2.24]	tasminn asambhavann arthāt.
[6,2.25]	na kālebhya upadiśyante.
[6,2.26]	darśanāt kālaliṅgānāṃ kālavidhānam.
[6,2.27]	teṣām autpattikatvād āgamena pravarteta.
[6,2.28]	tathā hi liṅgadarśanam.
[6,2.29]	tathāntaḥkratuprayuktāni.
[6,2.30]	ācārād gṛhyamāṇeṣu tathā syāt puruṣārthatvāt.
[6,2.31]	brāhmaṇasya tu somavidyāprajam ṛṇavākyena saṃyogāt.

{6,3}

[6,3.1]	sarvaśaktau pravṛttiḥ syāt tathābhūtopadeśāt.
[6,3.2]	api vāpy ekadeśe syāt pradhāne hy arthanirvṛttir guṇamātram itarat tadarthatvāt.
[6,3.3]	tadakarmaṇi ca doṣas tasmāt tato viśeṣaḥ syāt pradhānenābhisambandhāt.
[6,3.4]	karmābhedaṃ tu jaiminiḥ prayogavacanaikatvāt sarveṣām upadeśaḥ syād iti.
[6,3.5]	arthasya vyapavargitvād ekasyāpi prayoge syād yathā kratvantareṣu.
[6,3.6]	vidhyaparādhe ca darśanāt samāpteḥ.
[6,3.7]	prāyaścittavidhānāc ca.
[6,3.8]	kāmyeṣu caivam arthitvāt.
[6,3.9]	asaṃyogāt tu naivaṃ syād vidheḥ śabdapramāṇatvāt.
[6,3.10]	akarmaṇi cāpratyavāyāt.
[6,3.11]	kriyāṇām āśritatvād dravyāntare vibhāgaḥ syāt.
[6,3.12]	api vāvyatirekād rūpaśabdāvibhāgāc ca gotvavad aikakarmyaṃ syān nāmadheyaṃ ca sattvavat.
[6,3.13]	śrutipramāṇatvāc chiṣṭābhāve 'nāgamo 'nyasyāśiṣṭatvāt.
[6,3.14]	kvacid vidhānāc ca.
[6,3.15]	āgamo vā codanārthāviśeṣāt.
[6,3.16]	niyamārthaḥ kvācid vidhiḥ.
[6,3.17]	tan nityaṃ taccikīrṣā hi.
[6,3.18]	na devatāgniśabdakriyamanyārthasaṃyogāt.
[6,3.19]	devatāyāṃ ca tadarthatvāt.
[6,3.20]	pratiṣiddhaṃ cāviśeṣeṇa hi tacchrutiḥ.
[6,3.21]	tathā svāminaḥ phalasamavāyāt phalasya karmayogitvāt.
[6,3.22]	bahūnāṃ tu pravṛtte 'nyamāgamayed avaiguṇyāt.
[6,3.23]	sa svāmī syāt saṃyogāt.
[6,3.24]	karmakaro vā bhṛtatvāt.
[6,3.25]	tasmiṃś ca phaladarśanāt.
[6,3.26]	sa taddharmā syāt karmasaṃyogāt.
[6,3.27]	sāmānyaṃ taccikīrṣā hi.
[6,3.28]	nirdeśāt tu vikalpe yat pravṛttam.
[6,3.29]	aśabdam iti cet.
[6,3.30]	nānaṅgatvāt.
[6,3.31]	vacanāc cānyāyyam abhāve tatsāmānyena pratinidhir abhāvād itarasya.
[6,3.32]	na pratinidhau samatvāt.
[6,3.33]	syāc chrutilakṣaṇe niyatatvāt.
[6,3.34]	na tadīpsā hi.
[6,3.35]	mukhyādhigame mukhyam āgamo hi tadabhāvāt.
[6,3.36]	prabṛtte 'pīti cet.
[6,3.37]	nānarthakatvāt.
[6,3.38]	dravyasaṃskāravirodhe dravyaṃ tadarthatvāt.
[6,3.39]	arthadravyavirodhe 'rtho dravyābhāve tadutpatter dravyāṇām arthaśeṣatvāt.
[6,3.40]	vidhir apy ekadeśe syāt.
[6,3.41]	api vārthasya śakyatvād ekadeśena nirvartetārthānām avibhaktatvād guṇamātram itarat tadarthatvāt.

{6,4}

[6,4.1]	śeṣād dvyavadānanāśe syāt tadarthatvāt.
[6,4.2]	nirdeśād vānyad āgamayet.
[6,4.3]	api vā śeṣabhājāṃ syād viśiṣṭakāraṇatvāt.
[6,4.4]	nirdeśāc cheṣabhakṣo 'nyaiḥ pradhānavat.
[6,4.5]	sarvair vā samavāyāt syāt.
[6,4.6]	nirdeśasya guṇārthatvam.
[6,4.7]	pradhāne śrutilakṣaṇam.
[6,4.8]	arthavad iti cet.
[6,4.9]	na codanāvirodhāt.
[6,4.10]	arthasamavāyat prāyaścittam ekadeśe 'pi.
[6,4.11]	na tv aśeṣe vaiguṇyāt tadarthaṃ hi.
[6,4.12]	syād vā prāptanimittatvād ataddharmo nityasaṃyogān na hitasya guṇārthenānityatvāt.
[6,4.13]	guṇānāṃ ca parārthatvād vacanād vyapāśraya syāt.
[6,4.14]	bhedārtham iti.
[6,4.15]	na śeṣabhūtatvāt.
[6,4.16]	anarthakaś ca sarvanāśe syāt.
[6,4.17]	kṣāme tu sarvadāhe syād ekadeśasyāvarjanīyatvāt.
[6,4.18]	darśanād ekadeśe syāt.
[6,4.19]	anyena vaitac chāstrād dhi kāraṇaprāptiḥ.
[6,4.20]	taddhaviḥśabdān neti cet.
[6,4.21]	syād anyāyatvādijyāgāmī haviḥ śabdas talliṅgasaṃyogāt.
[6,4.22]	yathāśrutīti cet.
[6,4.23]	na tallakṣaṇatvād upapāto hi kāraṇam.
[6,4.24]	homābhiṣavabhakṣaṇaṃ ca tadvat.
[6,4.25]	ubhābhyāṃ vā na hi tayor dharmaśāstram.
[6,4.26]	punar ādheyam odanavat.
[6,4.27]	dravyotpatter vobhayoḥ syāt.
[6,4.28]	pañcaśarāvas tu dravyaśruteḥ pratinidhiḥ syāt.
[6,4.29]	codanā vā dravyadevatāvidhir avācye hi.
[6,4.30]	sa pratyāmanet sthānāt.
[6,4.31]	aṅgavidhir vā nimittasaṃyogāt.
[6,4.32]	viśvajitvapravṛtte bhāvaḥ karmaṇi syāt.
[6,4.33]	niṣkrayavādāc ca.
[6,4.34]	vatsasaṃyoge vratacodanā syāt.
[6,4.35]	kālo votpannasaṃyogād yathoktasya.
[6,4.36]	arthāparimāṇāc ca.
[6,4.37]	vatsas tu śrutisaṃyogāt tadaṅgaṃ syāt.
[6,4.38]	kālas tu syād acodanāt.
[6,4.39]	anarthakaś ca karmasaṃyoge.
[6,4.40]	avacanāc ca svaśabdasya.
[6,4.41]	kālaś cet sannayatpakṣe talliṅgasaṃyogāt.
[6,4.42]	kālārthatvād vobhayoḥ pratīyeta.
[6,4.43]	prastare śākhāśrayaṇavat.
[6,4.44]	kālavidhir vobhayor vidyāmānatvāt.
[6,4.45]	atatsaṃskārārthatvāc ca.
[6,4.46]	tasmāc ca viprayoge syāt.
[6,4.47]	upaveṣaś ca pakṣe syāt.

{6,5}

[6,5.1]	abhyudaye kālāparādhād ijyācodanā syād yathā pañcaśarāve.
[6,5.2]	apanayo vā vidyānatvāt.
[6,5.3]	tadrūpatvāc ca śabdānām.
[6,5.4]	ātañcanābhyāsasya darśanāt.
[6,5.5]	apūrvatvād vidhānaṃ syāt.
[6,5.6]	payodoṣāt pañcaśarāve 'duṣṭaṃ hītarat.
[6,5.7]	sānnāyyo 'pi tatheti cet.
[6,5.8]	na tasyāduṣṭatvād aviśiṣṭaṃ hi kāraṇam.
[6,5.9]	lakṣaṇārthāśrutiḥ.
[6,5.10]	upāṃśuyāje 'vacanād yathāprakṛti.
[6,5.11]	apanayo vā pravṛtyā yathetareṣām.
[6,5.12]	nirupte syāt tatsaṃyogāt.
[6,5.13]	pravṛtte vā prāpaṇān nimittasya.
[6,5.14]	lakṣaṇamātram itarat.
[6,5.15]	tathā cānyārthadarśanam.
[6,5.16]	anirupte 'bhyudite prākṛtībhyo nirvaped ity āśmarathyas taṇḍulabhūteṣv apanayāt.
[6,5.17]	vyūrdhvabhāgbhyas tv ālekhanas tatkāritvād devatāpanayasya.
[6,5.18]	vinirupte na muṣṭīnām apanayas tadguṇatvāt.
[6,5.19]	aprākṛtena hi saṃyogas tatsthānīyatvāt.
[6,5.20]	abhāvāc cetarasya syāt.
[6,5.21]	sānnāyyasaṃyogān nāsannāyataḥ syāt.
[6,5.22]	auṣadhasaṃyogād vobhayoḥ.
[6,5.23]	vaiguṇyān neti cet.
[6,5.24]	nātatsaṃskāratvāt.
[6,5.25]	sāmyutthāne viśvajitkrīte vibhāgasaṃyogāt.
[6,5.26]	pravṛte vā prāpaṇān nimittasya.
[6,5.27]	ādeśārthetarā śrutiḥ.
[6,5.28]	dīkṣāparimāṇe yathākāmyaviśeṣāt.
[6,5.29]	dvādaśāhas tu liṅgāt syāt.
[6,5.30]	paurṇamāsyām aniyamo 'viśeṣāt.
[6,5.31]	ānantaryāt tu caitrī syāt.
[6,5.32]	māghī vaikāṣṭakāśruteḥ.
[6,5.33]	anyā apīti cet.
[6,5.34]	na bhaktitvād eṣā hi loke.
[6,5.35]	dīkṣāparādhe cānugrahāt.
[6,5.36]	utthāne cānuprarohāt.
[6,5.37]	asyāṃ ca sarvaliṅgāni.
[6,5.38]	dīkṣākālasya śiṣṭatvād atikrame niyatānām anutkarṣaḥ prāptakālatvāt.
[6,5.39]	utkarṣo vā dīkṣitatvād aviśiṣṭaṃ hi kāraṇam.
[6,5.40]	tatra pratihomo na vidyate yathā pūrveṣām.
[6,5.41]	kālaprādhānyāc ca.
[6,5.42]	pratiṣedhāc cordhvam avabhṛthādeṣṭe.
[6,5.43]	pratihomaś cet sāyam agnihotraprabhṛtīni hūyeran.
[6,5.44]	prātas tu ṣoḍaśini.
[6,5.45]	prāyaścittam adhikāre sarvatra doṣamāmānyāt.
[6,5.46]	prakaraṇe vā śabdahetutvāt.
[6,5.47]	atidvikāraś ca.
[6,5.48]	vyāpannasyāpsu gatau yad abhojyam āryāṇāṃ tat pratīyeta.
[6,5.49]	vibhāgaśruteḥ prāyaścittaṃ yaugapadye na vidyate.
[6,5.50]	syād vā prāptanimittatvāt kālamātram ekam.
[6,5.51]	tatra vipratiṣedhād vikalpaḥ syāt.
[6,5.52]	prayogāntare vobhayānugrahaḥ syāt.
[6,5.53]	na caikasaṃyogāt.
[6,5.54]	paurvāparye pūrvadaurbalyaṃ prakṛtivat.
[6,5.55]	yady udgātā jaghanyaḥ syāt punar yajñe sarvavedasaṃ dadyād yathetarasmin.
[6,5.56]	ahargaṇe yasminn apacchedas tad āvarteta karma pṛthaktvāt.

{6,6}

[6,6.1]	sannipāte vaiguṇyāt prakṛtivat tulyakalpā yajeran.
[6,6.2]	vacanād vāśirovatsyāt.
[6,6.3]	na vānārabhyavādatvāt.
[6,6.4]	syād vā yajñārthatvād audumbarīvat.
[6,6.5]	na tatpradhānatvāt.
[6,6.6]	audumbaryāḥ parārthatvāt kapālavat.
[6,6.7]	anyenāpīti cet.
[6,6.8]	naikatvāttasya cānadhikārāc chabdasya cāvibhaktatvāt.
[6,6.9]	sannipātāt tu nimittavighātaḥ syād bṛhadrathantaravad vibhaktaśiṣṭatvād vasiṣṭhanirvartye.
[6,6.10]	api vā kṛtsnasaṃyogād avighātaḥ pratīyeta svāmitvenābhisaṃbandhāt.
[6,6.11]	sāmnoḥ karmavṛddhyaikadeśena saṃyoge guṇatvenābhisaṃbandhas tasmāt tatra vighātaḥ syāt.
[6,6.12]	vacanāt tu dvisaṃyogas tasmād ekasya pāṇivat.
[6,6.13]	arthābhāvāt tu naivaṃ syāt.
[6,6.14]	arthānāṃ ca vibhaktatvān na tacchrutena saṃbandhaḥ.
[6,6.15]	prāṇeḥ pratyaṅgabhāvād asaṃbandhaḥ pratīyeta.
[6,6.16]	satrāṇi sarvavarṇāmām aviśeṣāt.
[6,6.17]	liṅgadarśanāc ca.
[6,6.18]	brāhmaṇānāṃ vetarayor ārtvijyabhāvāt.
[6,6.19]	vacanād iti cet.
[6,6.20]	na svāmitvaṃ hi vidhīyate.
[6,6.21]	gārhapate vā syātām avipratiṣedhāt.
[6,6.22]	na vā kalpavirodhāt.
[6,6.23]	svāmitvād itareṣām ahīne liṅgadarśanam.
[6,6.24]	vāsiṣṭhānāṃ vā brahmatvaniyamāt.
[6,6.25]	sarveṣāṃ vā pratiprasavāt.
[6,6.26]	viśvāmitrasya hautraniyamād bhṛguśunakavasiṣṭhānām anadhikāraḥ.
[6,6.27]	vihārasya prabhutvād anagnīnām api syāt.
[6,6.28]	sārasvate ca darśanāt.
[6,6.29]	prāyaścittavidhānāc ca.
[6,6.30]	sāgnīnāṃ veṣṭipūrvatvāt.
[6,6.31]	svārthena ca prayuktatvāt.
[6,6.32]	sannivāpaṃ ca darśayati.
[6,6.33]	juhvādīnām aprayuktatvāt saṃdehe yathākāmī pratīyeta.
[6,6.34]	api vānyāni pātrāṇi sādhāraṇāni kurvīran vipratiṣedhāc chāstrakṛtvāt.
[6,6.35]	prāyaścittam āpadi syāt.
[6,6.36]	puruṣakalpena vikṛtau kartṛniyamaḥ syād yajñasya tadguṇatvād abhāvād itarān pratyekasminn adhikāraḥ syāt.
[6,6.37]	liṅgāc cejyāviśeṣavat.
[6,6.38]	na vā saṃyogapṛthaktvād guṇasyejyāpradhānatvād asaṃyuktā hi codanā.
[6,6.39]	ijyāyāṃ tadguṇatvād viśeṣeṇa niyamayeta.

{6,7}

[6,7.1]	svadāne sarvam aviśeṣāt.
[6,7.2]	yasya vā prabhuḥ syād itarasyāśakyatvāt.
[6,7.3]	na bhūmiḥ syāt sarvān pratyaviśiṣṭatvāt.
[6,7.4]	akāryatvāc ca tataḥ punar viśeṣaḥ syāt.
[6,7.5]	nityatvāc cānityair nāsti saṃbandhaḥ.
[6,7.6]	śūdraś ca dharmaśāstratvāt.
[6,7.7]	dakṣiṇākāle yat svaṃ tat pratīyeta taddānasaṃyogāt.
[6,7.8]	aśeṣatvāt tadantaḥ syāt karmaṇo dravyasiddhitvāt.
[6,7.9]	api vā śeṣakarma syāt kratoḥ pratyakṣaśiṣṭatvāt.
[6,7.10]	tathā cānyārthadarśanam.
[6,7.11]	aśeṣaṃ tu samañjasādānena śeṣakarma syāt.
[6,7.12]	nādānasyānityatvāt.
[6,7.13]	dīkṣāsu vinirdeśād akratvarthena saṃyogas tasmād avirodhaḥ syāt.
[6,7.14]	ahargaṇe ca taddharmaḥ syāt sarveṣām aviśeṣāt.
[6,7.15]	dvādaśaśataṃ vā prakṛtivat.
[6,7.16]	atadguṇatvāt naivaṃ syāt.
[6,7.17]	liṅgadarśanāc ca.
[6,7.18]	vikāraḥ sann ubhayato 'viśeṣāt.
[6,7.19]	adhikaṃ vā pratiprasavāt.
[6,7.20]	anugrahāc ca pādavat.
[6,7.21]	aparimite śiṣṭasya saṅkhyāpratiṣedhas tacchrutitvāt.
[6,7.22]	kalpāntaraṃ vā tulyavat prasaṅkhyānāt.
[6,7.23]	aniyamo 'viśeṣāt.
[6,7.24]	adhikaṃ vā syād bahūrthatvād itareṣāṃ sannidhānāt.
[6,7.25]	arthavādaś ca tadarthavat.
[6,7.26]	parakṛtipurākalpaṃ ca manuṣyadharmaḥ syād arthāya hy anukīrtanam.
[6,7.27]	tadyukte ca pratiṣedhāt.
[6,7.28]	nirdeśād vā taddharmaḥ syāt pañcāvattavat.
[6,7.29]	vidhau tu vedasaṃyogād upadeśaḥ syāt.
[6,7.30]	arthavādo vā vidhiśeṣatvāt tasmān nityānuvādaḥ syāt.
